S-10B Google 0  0.4130 S:29, I:2, D:45 
S-10B Kaldi 0  0.2391 S:20, I:2, D:22 
S-10B Google 1  0.3691 S:49, I:5, D:63 
S-10B Kaldi 1  0.2240 S:32, I:3, D:36 
S-10B Google 2  0.2959 S:48, I:4, D:48 
S-10B Kaldi 2  0.2012 S:35, I:7, D:26 
S-10B Google 3  0.2987 S:43, I:4, D:48 
S-10B Kaldi 3  0.2296 S:41, I:5, D:27 
S-10B Google 4  0.3239 S:72, I:4, D:84 
S-10B Kaldi 4  0.2065 S:49, I:4, D:49 
S-10B Google 5  0.2626 S:59, I:10, D:56 
S-10B Kaldi 5  0.1618 S:43, I:15, D:19 
S-10B Google 6  0.2848 S:27, I:0, D:20 
S-10B Kaldi 6  0.1879 S:12, I:2, D:17 
S-10B Google 7  0.3236 S:43, I:3, D:43 
S-10B Kaldi 7  0.2400 S:22, I:1, D:43 
S-10B Google 8  0.2772 S:49, I:2, D:23 
S-10B Kaldi 8  0.1723 S:25, I:6, D:15 

S-21A Google 0  0.6581 S:76, I:0, D:103 
S-21A Kaldi 0  0.4706 S:77, I:2, D:49 
S-21A Google 1  0.5828 S:66, I:1, D:102 
S-21A Kaldi 1  0.3966 S:63, I:5, D:47 
S-21A Google 2  0.6184 S:46, I:1, D:81 
S-21A Kaldi 2  0.3816 S:42, I:7, D:30 
S-21A Google 3  0.6104 S:129, I:2, D:151 
S-21A Kaldi 3  0.3766 S:95, I:5, D:74 
S-21A Google 4  0.6298 S:143, I:7, D:192 
S-21A Kaldi 4  0.4383 S:118, I:14, D:106 
S-21A Google 5  0.6426 S:76, I:5, D:106 
S-21A Kaldi 5  0.4227 S:58, I:3, D:62 
S-21A Google 6  0.5833 S:22, I:0, D:41 
S-21A Kaldi 6  0.4167 S:18, I:0, D:27 
S-21A Google 7  0.6053 S:9, I:0, D:14 
S-21A Kaldi 7  0.3421 S:8, I:0, D:5 
S-21A Google 8  0.4750 S:7, I:0, D:12 
S-21A Kaldi 8  0.2750 S:6, I:2, D:3 
S-21A Google 9  0.7333 S:13, I:0, D:20 
S-21A Kaldi 9  0.5111 S:10, I:0, D:13 
S-21A Google 10  0.4792 S:44, I:0, D:48 
S-21A Kaldi 10  0.2917 S:26, I:2, D:28 
S-21A Google 11  0.6368 S:46, I:0, D:75 
S-21A Kaldi 11  0.4684 S:41, I:1, D:47 

S-7C Google 0  0.3173 S:112, I:10, D:96 
S-7C Kaldi 0  0.2169 S:95, I:11, D:43 
S-7C Google 1  0.3713 S:108, I:7, D:61 
S-7C Kaldi 1  0.2447 S:78, I:20, D:18 
S-7C Google 2  0.3043 S:76, I:7, D:88 
S-7C Kaldi 2  0.2206 S:75, I:17, D:32 
S-7C Google 3  0.4119 S:108, I:8, D:141 
S-7C Kaldi 3  0.2821 S:92, I:7, D:77 
S-7C Google 4  0.3559 S:77, I:3, D:78 
S-7C Kaldi 4  0.2545 S:65, I:12, D:36 
S-7C Google 5  0.3725 S:109, I:4, D:131 
S-7C Kaldi 5  0.2489 S:95, I:13, D:55 

S-19C Google 0  0.5650 S:63, I:2, D:61 
S-19C Kaldi 0  0.4036 S:50, I:15, D:25 
S-19C Google 1  0.6768 S:10, I:0, D:57 
S-19C Kaldi 1  0.5354 S:33, I:2, D:18 
S-19C Google 2  0.4850 S:53, I:4, D:56 
S-19C Kaldi 2  0.2918 S:34, I:9, D:25 
S-19C Google 3  0.6090 S:33, I:2, D:46 
S-19C Kaldi 3  0.4737 S:35, I:5, D:23 
S-19C Google 4  0.5300 S:72, I:4, D:74 
S-19C Kaldi 4  0.3286 S:55, I:2, D:36 
S-19C Google 5  0.5801 S:43, I:2, D:60 
S-19C Kaldi 5  0.4641 S:44, I:7, D:33 
S-19C Google 6  0.4608 S:22, I:1, D:24 
S-19C Kaldi 6  0.4020 S:21, I:7, D:13 
S-19C Google 7  0.4085 S:13, I:3, D:13 
S-19C Kaldi 7  0.3521 S:19, I:3, D:3 
S-19C Google 8  0.3286 S:11, I:0, D:12 
S-19C Kaldi 8  0.2286 S:11, I:0, D:5 
S-19C Google 9  0.5233 S:15, I:1, D:29 
S-19C Kaldi 9  0.4186 S:18, I:0, D:18 
S-19C Google 10  0.4375 S:4, I:1, D:9 
S-19C Kaldi 10  0.1875 S:2, I:2, D:2 
S-19C Google 11  0.6212 S:18, I:1, D:22 
S-19C Kaldi 11  0.5909 S:25, I:2, D:12 

S-27C Google 0  0.4005 S:68, I:0, D:99 
S-27C Kaldi 0  0.2254 S:50, I:7, D:37 
S-27C Google 1  0.2922 S:32, I:2, D:63 
S-27C Kaldi 1  0.1687 S:27, I:9, D:20 
S-27C Google 2  0.3781 S:37, I:4, D:97 
S-27C Kaldi 2  0.1616 S:37, I:6, D:16 
S-27C Google 3  0.3564 S:52, I:9, D:109 
S-27C Kaldi 3  0.1908 S:45, I:12, D:34 
S-27C Google 4  0.3518 S:88, I:7, D:146 
S-27C Kaldi 4  0.1620 S:53, I:9, D:49 
S-27C Google 5  0.3301 S:129, I:8, D:199 
S-27C Kaldi 5  0.2141 S:125, I:13, D:80 
S-27C Google 6  0.3865 S:18, I:1, D:44 
S-27C Kaldi 6  0.2147 S:14, I:4, D:17 
S-27C Google 7  0.2759 S:5, I:0, D:11 
S-27C Kaldi 7  0.1552 S:5, I:0, D:4 
S-27C Google 8  0.4800 S:20, I:0, D:28 
S-27C Kaldi 8  0.2900 S:18, I:3, D:8 
S-27C Google 9  0.3419 S:9, I:3, D:28 
S-27C Kaldi 9  0.2051 S:13, I:3, D:8 
S-27C Google 10  0.4792 S:7, I:0, D:16 
S-27C Kaldi 10  0.3542 S:8, I:1, D:8 
S-27C Google 11  0.4528 S:15, I:1, D:32 
S-27C Kaldi 11  0.2642 S:12, I:0, D:16 

S-23C Google 0  0.3176 S:27, I:0, D:27 
S-23C Kaldi 0  0.2000 S:24, I:2, D:8 
S-23C Google 1  0.4641 S:50, I:2, D:45 
S-23C Kaldi 1  0.3301 S:43, I:5, D:21 
S-23C Google 2  0.4286 S:38, I:8, D:35 
S-23C Kaldi 2  0.3386 S:28, I:15, D:21 
S-23C Google 3  0.5683 S:69, I:1, D:59 
S-23C Kaldi 3  0.4317 S:68, I:7, D:23 
S-23C Google 4  0.4646 S:90, I:4, D:142 
S-23C Kaldi 4  0.2894 S:74, I:11, D:62 
S-23C Google 5  0.3487 S:38, I:1, D:67 
S-23C Kaldi 5  0.2171 S:33, I:6, D:27 
S-23C Google 6  0.3810 S:2, I:1, D:13 
S-23C Kaldi 6  0.1667 S:5, I:0, D:2 
S-23C Google 7  0.3151 S:16, I:0, D:7 
S-23C Kaldi 7  0.1781 S:8, I:1, D:4 
S-23C Google 8  0.3587 S:13, I:1, D:19 
S-23C Kaldi 8  0.3152 S:15, I:5, D:9 
S-23C Google 9  0.3462 S:7, I:0, D:2 
S-23C Kaldi 9  0.3077 S:4, I:3, D:1 
S-23C Google 10  0.6875 S:14, I:0, D:19 
S-23C Kaldi 10  0.2708 S:11, I:0, D:2 
S-23C Google 11  0.4276 S:31, I:1, D:33 
S-23C Kaldi 11  0.2171 S:18, I:4, D:11 

S-6B Google 0  0.5733 S:42, I:2, D:42 
S-6B Kaldi 0  0.4400 S:43, I:6, D:17 
S-6B Google 1  0.4424 S:43, I:1, D:52 
S-6B Kaldi 1  0.3318 S:44, I:8, D:20 
S-6B Google 2  0.3107 S:52, I:1, D:43 
S-6B Kaldi 2  0.1521 S:26, I:1, D:20 
S-6B Google 3  0.4049 S:42, I:1, D:40 
S-6B Kaldi 3  0.2439 S:31, I:6, D:13 
S-6B Google 4  0.2784 S:57, I:7, D:61 
S-6B Kaldi 4  0.1670 S:40, I:10, D:25 
S-6B Google 5  0.2727 S:65, I:6, D:70 
S-6B Kaldi 5  0.1064 S:25, I:8, D:22 

S-5A Google 0  0.5377 S:105, I:2, D:150 
S-5A Kaldi 0  0.3536 S:108, I:14, D:47 
S-5A Google 1  0.4938 S:46, I:2, D:72 
S-5A Kaldi 1  0.3045 S:44, I:5, D:25 
S-5A Google 2  0.4422 S:131, I:9, D:170 
S-5A Kaldi 2  0.2981 S:110, I:23, D:76 
S-5A Google 3  0.4150 S:61, I:2, D:86 
S-5A Kaldi 3  0.2368 S:52, I:6, D:27 
S-5A Google 4  0.4133 S:53, I:4, D:86 
S-5A Kaldi 4  0.2399 S:44, I:8, D:31 
S-5A Google 5  0.4812 S:118, I:3, D:122 
S-5A Kaldi 5  0.2792 S:79, I:9, D:53 

S-11C Google 0  0.2778 S:19, I:3, D:33 
S-11C Kaldi 0  0.1818 S:23, I:6, D:7 
S-11C Google 1  0.4061 S:18, I:0, D:49 
S-11C Kaldi 1  0.2364 S:24, I:2, D:13 
S-11C Google 2  0.2741 S:57, I:2, D:49 
S-11C Kaldi 2  0.1878 S:43, I:7, D:24 
S-11C Google 3  0.2701 S:36, I:0, D:75 
S-11C Kaldi 3  0.1922 S:41, I:6, D:32 
S-11C Google 4  0.2265 S:69, I:5, D:61 
S-11C Kaldi 4  0.1040 S:34, I:3, D:25 
S-11C Google 5  0.2261 S:58, I:2, D:63 
S-11C Kaldi 5  0.1085 S:27, I:7, D:25 
S-11C Google 6  0.3004 S:31, I:1, D:35 
S-11C Kaldi 6  0.2018 S:21, I:6, D:18 
S-11C Google 7  0.2583 S:38, I:1, D:31 
S-11C Kaldi 7  0.1292 S:20, I:2, D:13 
S-11C Google 8  0.2571 S:13, I:1, D:13 
S-11C Kaldi 8  0.1810 S:9, I:6, D:4 

S-16D Google 0  0.2683 S:47, I:1, D:40 
S-16D Kaldi 0  0.2165 S:47, I:8, D:16 
S-16D Google 1  0.2173 S:44, I:2, D:67 
S-16D Kaldi 1  0.1865 S:59, I:8, D:30 
S-16D Google 2  0.2724 S:28, I:1, D:56 
S-16D Kaldi 2  0.2308 S:47, I:8, D:17 
S-16D Google 3  0.2118 S:45, I:4, D:59 
S-16D Kaldi 3  0.1569 S:50, I:12, D:18 
S-16D Google 4  0.2542 S:36, I:4, D:67 
S-16D Kaldi 4  0.1710 S:51, I:2, D:19 
S-16D Google 5  0.2500 S:28, I:3, D:47 
S-16D Kaldi 5  0.2212 S:51, I:8, D:10 
S-16D Google 6  0.3968 S:16, I:0, D:34 
S-16D Kaldi 6  0.3413 S:24, I:8, D:11 
S-16D Google 7  0.3276 S:6, I:2, D:11 
S-16D Kaldi 7  0.2759 S:13, I:2, D:1 
S-16D Google 8  0.2574 S:14, I:0, D:21 
S-16D Kaldi 8  0.1765 S:16, I:1, D:7 
S-16D Google 9  0.3871 S:1, I:0, D:11 
S-16D Kaldi 9  0.4194 S:10, I:1, D:2 
S-16D Google 10  0.3750 S:7, I:2, D:6 
S-16D Kaldi 10  0.2500 S:8, I:1, D:1 
S-16D Google 11  0.2169 S:4, I:0, D:14 
S-16D Kaldi 11  0.2289 S:11, I:7, D:1 
S-16D Google 12  0.2667 S:3, I:0, D:9 
S-16D Kaldi 12  0.2889 S:9, I:4, D:0 

S-20D Google 0  0.5255 S:61, I:3, D:80 
S-20D Kaldi 0  0.3905 S:64, I:8, D:35 
S-20D Google 1  0.4228 S:68, I:5, D:64 
S-20D Kaldi 1  0.2623 S:48, I:5, D:32 
S-20D Google 2  0.4669 S:54, I:1, D:100 
S-20D Kaldi 2  0.3223 S:67, I:4, D:36 
S-20D Google 3  0.4213 S:44, I:3, D:52 
S-20D Kaldi 3  0.3872 S:59, I:2, D:30 
S-20D Google 4  0.3737 S:142, I:15, D:133 
S-20D Kaldi 4  0.2745 S:142, I:22, D:49 
S-20D Google 5  0.3968 S:74, I:5, D:94 
S-20D Kaldi 5  0.2844 S:78, I:12, D:34 
S-20D Google 6  0.8205 S:4, I:0, D:28 
S-20D Kaldi 6  0.7949 S:20, I:1, D:10 
S-20D Google 7  0.7083 S:16, I:0, D:18 
S-20D Kaldi 7  0.5625 S:22, I:2, D:3 
S-20D Google 8  0.4762 S:6, I:0, D:4 
S-20D Kaldi 8  0.3333 S:4, I:0, D:3 
S-20D Google 9  0.4578 S:21, I:3, D:14 
S-20D Kaldi 9  0.5301 S:23, I:12, D:9 
S-20D Google 10  0.5185 S:28, I:2, D:26 
S-20D Kaldi 10  0.4537 S:31, I:6, D:12 
S-20D Google 11  0.5132 S:26, I:1, D:12 
S-20D Kaldi 11  0.4079 S:21, I:4, D:6 

S-29A Google 0  0.3004 S:26, I:3, D:47 
S-29A Kaldi 0  0.1581 S:23, I:3, D:14 
S-29A Google 1  0.2993 S:28, I:1, D:59 
S-29A Kaldi 1  0.1939 S:29, I:5, D:23 
S-29A Google 2  0.3831 S:19, I:0, D:99 
S-29A Kaldi 2  0.1623 S:19, I:2, D:29 
S-29A Google 3  0.3117 S:30, I:3, D:68 
S-29A Kaldi 3  0.1759 S:26, I:2, D:29 
S-29A Google 4  0.3135 S:38, I:7, D:124 
S-29A Kaldi 4  0.1818 S:41, I:16, D:41 
S-29A Google 5  0.2616 S:23, I:1, D:49 
S-29A Kaldi 5  0.1290 S:15, I:2, D:19 
S-29A Google 6  0.3056 S:0, I:0, D:11 
S-29A Kaldi 6  0.1944 S:3, I:0, D:4 
S-29A Google 7  0.2614 S:6, I:1, D:16 
S-29A Kaldi 7  0.2273 S:12, I:2, D:6 
S-29A Google 8  0.1842 S:4, I:0, D:10 
S-29A Kaldi 8  0.1711 S:7, I:3, D:3 
S-29A Google 9  0.4878 S:9, I:1, D:10 
S-29A Kaldi 9  0.1951 S:3, I:0, D:5 
S-29A Google 10  0.3143 S:8, I:1, D:13 
S-29A Kaldi 10  0.2143 S:8, I:1, D:6 
S-29A Google 11  0.2549 S:2, I:0, D:11 
S-29A Kaldi 11  0.3725 S:9, I:1, D:9 

S-14B Google 0  0.4365 S:63, I:2, D:93 
S-14B Kaldi 0  0.3039 S:61, I:15, D:34 
S-14B Google 1  0.4259 S:63, I:4, D:91 
S-14B Kaldi 1  0.3127 S:60, I:9, D:47 
S-14B Google 2  0.4018 S:68, I:6, D:63 
S-14B Kaldi 2  0.2815 S:54, I:8, D:34 
S-14B Google 3  0.5374 S:36, I:1, D:42 
S-14B Kaldi 3  0.4150 S:42, I:5, D:14 
S-14B Google 4  0.4484 S:62, I:5, D:85 
S-14B Kaldi 4  0.2832 S:52, I:11, D:33 
S-14B Google 5  0.3462 S:72, I:7, D:91 
S-14B Kaldi 5  0.2301 S:61, I:10, D:42 
S-14B Google 6  0.4366 S:7, I:1, D:23 
S-14B Kaldi 6  0.2535 S:12, I:0, D:6 
S-14B Google 7  0.3333 S:8, I:1, D:23 
S-14B Kaldi 7  0.3646 S:20, I:4, D:11 
S-14B Google 8  0.3125 S:3, I:0, D:7 
S-14B Kaldi 8  0.2500 S:4, I:0, D:4 

S-32D Google 0  0.5187 S:46, I:11, D:82 
S-32D Kaldi 0  0.4254 S:47, I:27, D:40 
S-32D Google 1  0.4030 S:33, I:2, D:98 
S-32D Kaldi 1  0.2545 S:38, I:5, D:41 
S-32D Google 2  0.5109 S:43, I:1, D:96 
S-32D Kaldi 2  0.4051 S:51, I:8, D:52 
S-32D Google 3  0.4319 S:26, I:0, D:104 
S-32D Kaldi 3  0.1993 S:27, I:3, D:30 
S-32D Google 4  0.5757 S:32, I:1, D:142 
S-32D Kaldi 4  0.2862 S:37, I:8, D:42 
S-32D Google 5  0.4008 S:26, I:1, D:72 
S-32D Kaldi 5  0.2308 S:26, I:3, D:28 
S-32D Google 6  0.5926 S:11, I:1, D:36 
S-32D Kaldi 6  0.3580 S:9, I:0, D:20 
S-32D Google 7  0.5133 S:18, I:0, D:40 
S-32D Kaldi 7  0.3009 S:11, I:0, D:23 
S-32D Google 8  0.4571 S:4, I:0, D:12 
S-32D Kaldi 8  0.2857 S:4, I:1, D:5 
S-32D Google 9  0.3977 S:27, I:1, D:42 
S-32D Kaldi 9  0.3125 S:27, I:3, D:25 
S-32D Google 10  0.7500 S:2, I:1, D:9 
S-32D Kaldi 10  0.3750 S:4, I:1, D:1 
S-32D Google 11  0.4848 S:12, I:8, D:12 
S-32D Kaldi 11  0.2576 S:4, I:7, D:6 

S-22B Google 0  0.4421 S:36, I:2, D:65 
S-22B Kaldi 0  0.2575 S:36, I:5, D:19 
S-22B Google 1  0.3520 S:33, I:3, D:52 
S-22B Kaldi 1  0.2240 S:34, I:10, D:12 
S-22B Google 2  0.3838 S:104, I:8, D:116 
S-22B Kaldi 2  0.2222 S:82, I:21, D:29 
S-22B Google 3  0.3808 S:32, I:1, D:66 
S-22B Kaldi 3  0.1885 S:30, I:6, D:13 
S-22B Google 4  0.4451 S:53, I:1, D:104 
S-22B Kaldi 4  0.2479 S:40, I:7, D:41 
S-22B Google 5  0.3995 S:49, I:5, D:101 
S-22B Kaldi 5  0.1959 S:44, I:13, D:19 
S-22B Google 6  0.4848 S:7, I:0, D:9 
S-22B Kaldi 6  0.2727 S:4, I:0, D:5 
S-22B Google 7  0.2753 S:22, I:2, D:25 
S-22B Kaldi 7  0.1798 S:21, I:1, D:10 
S-22B Google 8  0.3699 S:33, I:1, D:57 
S-22B Kaldi 8  0.1829 S:27, I:1, D:17 
S-22B Google 9  0.2766 S:2, I:0, D:11 
S-22B Kaldi 9  0.1277 S:3, I:0, D:3 
S-22B Google 10  0.3062 S:33, I:2, D:29 
S-22B Kaldi 10  0.2010 S:30, I:3, D:9 
S-22B Google 11  0.4019 S:41, I:3, D:42 
S-22B Kaldi 11  0.2056 S:27, I:7, D:10 


S-4D Google 0  0.5644 S:116, I:11, D:193 
S-4D Kaldi 0  0.4180 S:134, I:17, D:86 
S-4D Google 1  0.5875 S:113, I:2, D:167 
S-4D Kaldi 1  0.4208 S:120, I:12, D:70 
S-4D Google 2  0.5486 S:78, I:1, D:113 
S-4D Kaldi 2  0.3771 S:66, I:7, D:59 
S-4D Google 3  0.5363 S:89, I:2, D:116 
S-4D Kaldi 3  0.3575 S:66, I:5, D:67 
S-4D Google 4  0.5278 S:117, I:6, D:143 
S-4D Kaldi 4  0.3631 S:86, I:11, D:86 
S-4D Google 5  0.5936 S:123, I:3, D:153 
S-4D Kaldi 5  0.3830 S:98, I:14, D:68 

S-8D Google 0  0.4235 S:37, I:4, D:78 
S-8D Kaldi 0  0.2064 S:37, I:7, D:14 
S-8D Google 1  0.3346 S:32, I:0, D:57 
S-8D Kaldi 1  0.1729 S:29, I:1, D:16 
S-8D Google 2  0.3060 S:38, I:1, D:103 
S-8D Kaldi 2  0.1767 S:42, I:8, D:32 
S-8D Google 3  0.3909 S:58, I:3, D:145 
S-8D Kaldi 3  0.2751 S:81, I:3, D:61 
S-8D Google 4  0.3604 S:83, I:7, D:110 
S-8D Kaldi 4  0.2198 S:71, I:11, D:40 
S-8D Google 5  0.3121 S:63, I:2, D:87 
S-8D Kaldi 5  0.1684 S:50, I:8, D:24 


S-3C Google 0  0.3704 S:43, I:2, D:45 
S-3C Kaldi 0  0.3333 S:38, I:13, D:30 
S-3C Google 1  0.3924 S:18, I:3, D:41 
S-3C Kaldi 1  0.3291 S:30, I:5, D:17 
S-3C Google 2  0.4586 S:53, I:5, D:125 
S-3C Kaldi 2  0.2807 S:54, I:2, D:56 
S-3C Google 3  0.3158 S:41, I:5, D:32 
S-3C Kaldi 3  0.2065 S:29, I:8, D:14 
S-3C Google 4  0.3853 S:85, I:11, D:82 
S-3C Kaldi 4  0.2251 S:61, I:8, D:35 
S-3C Google 5  0.3798 S:38, I:0, D:71 
S-3C Kaldi 5  0.2927 S:40, I:3, D:41 

S-12D Google 0  0.5484 S:26, I:2, D:40 
S-12D Kaldi 0  0.3306 S:26, I:2, D:13 
S-12D Google 1  0.5633 S:35, I:2, D:52 
S-12D Kaldi 1  0.3671 S:32, I:5, D:21 
S-12D Google 2  0.4348 S:18, I:0, D:22 
S-12D Kaldi 2  0.3043 S:9, I:4, D:15 
S-12D Google 3  0.6087 S:28, I:0, D:28 
S-12D Kaldi 3  0.3478 S:15, I:1, D:16 
S-12D Google 4  0.4385 S:40, I:0, D:42 
S-12D Kaldi 4  0.2406 S:30, I:1, D:14 
S-12D Google 5  0.5610 S:37, I:1, D:54 
S-12D Kaldi 5  0.3537 S:32, I:1, D:25 

S-18B Google 0  0.4101 S:42, I:2, D:86 
S-18B Kaldi 0  0.2713 S:53, I:9, D:24 
S-18B Google 1  0.3444 S:29, I:1, D:53 
S-18B Kaldi 1  0.1992 S:26, I:8, D:14 
S-18B Google 2  0.4130 S:32, I:3, D:41 
S-18B Kaldi 2  0.2283 S:31, I:6, D:5 
S-18B Google 3  0.3985 S:47, I:4, D:53 
S-18B Kaldi 3  0.2261 S:37, I:9, D:13 
S-18B Google 4  0.3207 S:34, I:4, D:55 
S-18B Kaldi 4  0.2586 S:36, I:12, D:27 
S-18B Google 5  0.3014 S:34, I:3, D:51 
S-18B Kaldi 5  0.1438 S:22, I:8, D:12 
S-18B Google 6  0.2742 S:16, I:0, D:18 
S-18B Kaldi 6  0.1774 S:10, I:3, D:9 
S-18B Google 7  0.3160 S:34, I:7, D:26 
S-18B Kaldi 7  0.1840 S:24, I:5, D:10 
S-18B Google 8  0.4419 S:7, I:0, D:12 
S-18B Kaldi 8  0.3256 S:6, I:0, D:8 
S-18B Google 9  1.0000 S:5, I:3, D:2 
S-18B Kaldi 9  0.7000 S:5, I:2, D:0 
